Osney K Encounters:
Osney K (Osney), Osmund K (Osmund Kettleblack), 1051821, "hedge knight with the unlikely name of Ser Osmund Kettleblack, and his equally unsavory brothers Osney"
Osfryd K (Osfryd), Osney K (Osney), 1051832, "with the unlikely name of Ser Osmund Kettleblack, and his equally unsavory brothers Osney and Osfryd"
Lancel L (Lancel), Osney K (Osney), 1051840, "the unlikely name of Ser Osmund Kettleblack, and his equally unsavory brothers Osney and Osfryd. Lancel"
Cersei L (Cersei), Osney K (Osney), 1051876, "and his equally unsavory brothers Osney and Osfryd. Lancel had told him all about them. Cersei"
Osney K (Osney), Osmund K (Osmund), 1388705, "threw open the heavy oaken door. �Bring in my brother�s whore.�  Ser Osmund�s brothers Osney"
Osfryd K (Osfryd), Osney K (Osney), 1388716, "the heavy oaken door. �Bring in my brother�s whore.�  Ser Osmund�s brothers Osney and Osfryd"
Osney K (Osney), Gyles R (Lord Gyles), 1507629, "wine. She could hear it in Lord Gyles�s racking cough, and the whispered voice of Osney"
Cersei L (Cersei), Osney K (Osney Kettleblack), 1507676, "racking cough, and the whispered voice of Osney Kettleblack when he slipped in to bring Cersei"
Sansa S (Sansa), Osney K (Osney Kettleblack), 1507696, "whispered voice of Osney Kettleblack when he slipped in to bring Cersei the tidings.  Sansa"
Osney K (Osney), Osmund K (Osmund), 1513463, "never once heard of these Kettleblacks before Ser Osmund was named to the Kingsguard.  Osney"
Stannis B (Stannis), Osney K (Osney Kettleblack), 1517136, "hall as Osney Kettleblack slipped in to kneel once more between them. �Y�Grace,� he murmured. �Stannis"
Osney K (Osney), Renly B (Renly), 1552315, "Lord Renly! What must Stannis have thought when he heard that? I had it from Osney"
Osney K (Osney), Stannis B (Stannis), 1552315, "Lord Renly! What must Stannis have thought when he heard that? I had it from Osney"
Osmund K (Osmund), Osney K (Osney Kettleblack), 1552354, "when he heard that? I had it from Osney Kettleblack who had it from Ser Osmund"
Balon S (Ser Balon), Osney K (Osney Kettleblack), 1552369, "that? I had it from Osney Kettleblack who had it from Ser Osmund, but Ser Balon"
